Khó thở là triệu chứng đáng lo ngại nhất của COVID-19|https://nguoilambao.vn/kho-tho-la-trieu-chung-dang-lo-ngai-nhat-cua-covid-19-n54500.html|https://nguoilambao.vn/images/news/2022/03/08/small/kho-tho-la-trieu-chung-dang-lo-ngai-nhat-cua-covid-19-1646702509.jpg|Trong bối cảnh dịch COVID-19 đang tiếp tục hoành hành tại nhiều nước trên thế giới, nhiều người vẫn đang phải chống chọi với những triệu chứng rõ ràng của căn bệnh này....|thế giới|nguoilambao.vn|08:03 - 08/03/2022
Việt Nam tham dự Triển lãm hàng không Singapore Airshow 2022|https://nguoilambao.vn/viet-nam-tham-du-trien-lam-hang-khong-singapore-airshow-2022-n54189.html|https://nguoilambao.vn/images/news/2022/02/16/small/viet-nam-tham-du-trien-lam-hang-khong-singapore-airshow-2022-1644970071.jpg|Tham dự lễ cắt băng khai mạc về phía Việt Nam có đoàn đại biểu Bộ Quốc phòng Việt Nam, do Trung tướng Phùng Sĩ Tấn, Phó Tổng Tham mưu trưởng, dẫn đầu và Đại sứ Việt Nam...|thế giới|nguoilambao.vn|07:05 - 16/02/2022
Moscow được mệnh danh là một trong những thành phố lãng mạn nhất thế giới|https://nguoilambao.vn/moscow-duoc-menh-danh-la-mot-trong-nhung-thanh-pho-lang-man-nhat-the-gioi-n54177.html|https://nguoilambao.vn/images/news/2022/02/15/small/moscow-duoc-menh-danh-la-mot-trong-nhung-thanh-pho-lang-man-nhat-the-gioi-1644898572.jpg|Thủ đô của Nga đã được xếp hạng thứ tám và London, Paris, Barcelona, Tokyo và New York đã lọt vào top năm những thành phố lãng mạn nhất Thế giới.|thế giới|nguoilambao.vn|11:06 - 15/02/2022
Cam kết vững chắc về một khu vực Ấn Độ Dương, Thái Bình Dương tự do, rộng mở|https://nguoilambao.vn/cam-ket-vung-chac-ve-mot-khu-vuc-an-do-duong-thai-binh-duong-tu-do-rong-mo-n54152.html|https://nguoilambao.vn/images/news/2022/02/13/small/cam-ket-vung-chac-ve-mot-khu-vuc-an-do-duong-thai-binh-duong-tu-do-rong-mo-1644719077.jpeg|Biến đổi khí hậu, đại dịch Covid-19 và an ninh khu vực Ấn Độ Dương-Thái Bình Dương là những chủ đề chính được thảo luận tại Hội nghị Bộ trưởng Ngoại giao lần thứ tư của...|thế giới|nguoilambao.vn|09:20 - 13/02/2022
WHO: Các nước nghèo sẽ được tiếp cận vaccine để phục hồi kinh tế|https://nguoilambao.vn/who-cac-nuoc-ngheo-se-duoc-tiep-can-vaccine-de-phuc-hoi-kinh-te-n54084.html|https://nguoilambao.vn/images/news/2022/02/08/small/who-cac-nuoc-ngheo-se-duoc-tiep-can-vaccine-de-phuc-hoi-kinh-te-1644293959.jpg|Tổ chức Y tế Thế giới (WHO) và Khối các quốc gia thịnh vượng chung ngày 7/2 đưa ra cam kết đảm bảo các quốc gia nhỏ dễ bị tổn thương được tiếp cận vaccine ngừa COVID-19,...|thế giới|nguoilambao.vn|11:11 - 08/02/2022
Bức tranh đa sắc truyền thông thế giới năm 2021|https://nguoilambao.vn/buc-tranh-da-sac-truyen-thong-the-gioi-nam-2021-n54029.html|https://nguoilambao.vn/images/news/2022/01/31/small/buc-tranh-da-sac-truyen-thong-the-gioi-nam-2021-1643645393.jpg|Tiếp tục chịu ảnh hưởng nặng nề do dịch Covid-19, 2021 vẫn là một năm chưa có nhiều khởi sắc với những gam màu trầm bao phủ các trang báo như các sự kiện chính biến,...|thế giới|nguoilambao.vn|22:59 - 31/01/2022
WHO cảnh báo nguy cơ xuất hiện biến thể mới lây lan cao hơn Omicron|https://nguoilambao.vn/who-canh-bao-nguy-co-xuat-hien-bien-the-moi-lay-lan-cao-hon-omicron-n53967.html|https://nguoilambao.vn/images/news/2022/01/26/small/who-canh-bao-nguy-co-xuat-hien-bien-the-moi-lay-lan-cao-hon-omicron-1643182244.jpg|Trưởng nhóm kỹ thuật thuộc Chương trình Y tế khẩn cấp của WHO dự báo biến thể tiếp theo của virus SARS-CoV-2 sẽ có khả năng lây lan cao hơn nữa vì chúng phải “vượt mặt”...|thế giới|nguoilambao.vn|14:26 - 26/01/2022
"WHO dự đoán Omicron là sự kết thúc ""hợp lý"" cho đại dịch ở châu Âu"|https://nguoilambao.vn/who-du-doan-omicron-la-su-ket-thuc-quot-hop-lyquot-cho-dai-dich-o-chau-au-n53923.html|https://nguoilambao.vn/images/news/2022/01/24/small/who-du-doan-omicron-la-su-ket-thuc-quot-hop-lyquot-cho-dai-dich-o-chau-au-1642994701.jpg|Ngày 23/1, Giám đốc Tổ chức Y tế Thế giới (WHO) khu vực châu Âu Hans Kluge dự đoán biến thể Omicron có thể lây nhiễm cho 60% người dân châu Âu từ nay tới tháng 3. Như...|thế giới|nguoilambao.vn|10:18 - 24/01/2022
WHO cho biết số ca mắc COVID-2019 trên toàn cầu vượt quá 325 triệu ca|https://nguoilambao.vn/who-cho-biet-so-ca-mac-covid-19-tren-toan-cau-vuot-qua-325-trieu-ca-n53848.html|https://nguoilambao.vn/images/news/2022/01/18/small/who-cho-biet-so-ca-mac-covid-2019-tren-toan-cau-vuot-qua-325-trieu-ca-1642474870.jpg|Số lượng các ca mắc COVID-19 lớn nhất được báo cáo từ Hoa Kỳ, Ấn Độ, Brazil, Vương quốc Anh và Pháp.|thế giới|nguoilambao.vn|09:52 - 18/01/2022
Roscosmos của Nga và NASA đàm phán về việc mở rộng hoạt động của ISS đến năm 2030|https://nguoilambao.vn/roscosmos-cua-nga-va-nasa-dam-phan-ve-viec-mo-rong-hoat-dong-cua-iss-den-nam-2030-n53839.html|https://nguoilambao.vn/images/news/2022/01/17/small/roscosmos-cua-nga-va-nasa-dam-phan-ve-viec-mo-rong-hoat-dong-cua-iss-den-nam-2030-1642418877.jpg|NASA và Roscosmos của Nga đang tiến hành cuộc đàm phán về việc kéo dài hoạt động của ISS đến năm 2030.|thế giới|nguoilambao.vn|17:56 - 17/01/2022
Nga sẽ cấp giấy chứng nhận COVID-19 cho người có kháng thể|https://nguoilambao.vn/nga-se-cap-giay-chung-nhan-covid-19-cho-nguoi-co-khang-the-n53821.html|https://nguoilambao.vn/images/news/2022/01/15/small/nga-se-cap-giay-chung-nhan-covid-19-cho-nguoi-co-khang-the-1642204388.jpg|Phó Thủ tướng Nga Tatyana Golikova ngày 14/1 cho biết giới chức nước này sẽ cấp giấy chứng nhận COVID-19 cho người dân, kể cả người nước ngoài, dựa trên kết quả xét...|thế giới|nguoilambao.vn|06:49 - 15/01/2022
WHO cảnh báo nguy cơ bùng phát dịch COVID-19 vào mùa Xuân|https://nguoilambao.vn/who-canh-bao-nguy-co-bung-phat-dich-covid-19-vao-mua-xuan-n53791.html|https://nguoilambao.vn/images/news/2022/01/13/small/who-canh-bao-nguy-co-bung-phat-dich-covid-19-vao-mua-xuan-1642045317.jpg|Tổ chức Y tế Thế giới (WHO) ngày 12/1 đã lên tiếng cảnh báo đồng thời kêu gọi sẵn sàng ứng phó với sự bùng phát của dịch COVID-19 và các bệnh về đường hô hấp khác trong...|thế giới|nguoilambao.vn|10:36 - 13/01/2022
WB hạ dự báo tăng trưởng kinh tế toàn cầu|https://nguoilambao.vn/wb-ha-du-bao-tang-truong-kinh-te-toan-cau-n53772.html|https://nguoilambao.vn/images/news/2022/01/12/small/wb-ha-du-bao-tang-truong-kinh-te-toan-cau-1641946660.jpeg|Ngày 11/1, trong báo cáo Triển vọng kinh tế toàn cầu, Ngân hàng Thế giới (WB) dự báo mức tăng trưởng kinh tế toàn cầu sẽ giảm xuống còn 4,1% trong năm 2022, thấp hơn so...|thế giới|nguoilambao.vn|07:15 - 12/01/2022
Anh phát hiện ca đầu tiên nhiễm cúm gia cầm ở người|https://nguoilambao.vn/anh-phat-hien-ca-dau-tien-nhiem-cum-gia-cam-o-nguoi-n53721.html|https://nguoilambao.vn/images/news/2022/01/07/small/anh-phat-hien-ca-dau-tien-nhiem-cum-gia-cam-o-nguoi-1641511969.jpg|Ngày 6/1, Anh đã xác nhận ca đầu tiên mắc cúm gia cầm tại người ở miền Tây Nam nước này.|thế giới|nguoilambao.vn|06:29 - 07/01/2022
Indonesia tạm thời cấm nhập cảnh đối với công dân từ 14 quốc gia|https://nguoilambao.vn/indonesia-tam-thoi-cam-nhap-canh-doi-voi-cong-dan-tu-14-quoc-gia-n53713.html|https://nguoilambao.vn/images/news/2022/01/06/small/indonesia-tam-thoi-cam-nhap-canh-doi-voi-cong-dan-tu-14-quoc-gia-1641459254.jpg|Chính phủ Indonesia đã tạm thời cấm nhập cảnh đối với công dân nước ngoài từ 14 quốc gia nhằm ngăn chặn sự lây lan của biến thể Omicron.|thế giới|nguoilambao.vn|15:43 - 06/01/2022
Hội đồng bảo an Liên hợp quốc ra tuyên bố chung về hạt nhân|https://nguoilambao.vn/hoi-dong-bao-an-lien-hop-quoc-ra-tuyen-bo-chung-ve-hat-nhan-n53670.html|https://nguoilambao.vn/images/news/2022/01/04/small/hoi-dong-bao-an-lien-hop-quoc-ra-tuyen-bo-chung-ve-hat-nhan-1641251717.jpg|Ngày 3/1, Trung Quốc, Nga, Anh, Mỹ và Pháp đã nhất trí ngăn chặn phổ biến vũ khí hạt nhân và nguy cơ xảy ra một cuộc chiến tranh hạt nhân.|thế giới|nguoilambao.vn|06:09 - 04/01/2022
WHO khuyến nghị các nước cẩn trọng việc giảm thời gian cách ly|https://nguoilambao.vn/who-khuyen-nghi-cac-nuoc-can-trong-viec-giam-thoi-gian-cach-ly-n53609.html|https://nguoilambao.vn/images/news/2021/12/30/small/who-khuyen-nghi-cac-nuoc-can-trong-viec-giam-thoi-gian-cach-ly-1640850511.jpg|Chuyên gia của WHO cho rằng các nước cần cẩn trọng trong việc giảm các biện pháp hạn chế phòng dịch, mặc dù các nghiên cứu sơ bộ cho thấy biến thể Omicron có thể ít...|thế giới|nguoilambao.vn|14:42 - 30/12/2021
Omicron tiếp tục lây lan mạnh, WHO cảnh báo nguy cơ|https://nguoilambao.vn/omicron-tiep-tuc-lay-lan-manh-who-canh-bao-nguy-co-n53585.html|https://nguoilambao.vn/images/news/2021/12/29/small/omicron-tiep-tuc-lay-lan-manh-who-canh-bao-nguy-co-1640768160.jpg|Những ngày gần đây, số ca nhiễm COVID-19 mới tại nhiều nước ghi nhận những kỷ lục mới do sự lây lan mạnh của biến thể Omicron. Tính lây lan mạnh của biến thể Omicron...|thế giới|nguoilambao.vn|15:52 - 29/12/2021
WHO: Các quốc gia cần thực hiện biện pháp hợp lý và tương xứng trước biến thể Omicron|https://nguoilambao.vn/who-cac-quoc-gia-can-thuc-hien-bien-phap-hop-ly-va-tuong-xung-truoc-bien-the-omicron-n53057.html|https://nguoilambao.vn/images/news/2021/12/01/small/who-cac-quoc-gia-can-thuc-hien-bien-phap-hop-ly-va-tuong-xung-truoc-bien-the-omicron-1638327690.jpg|Người đứng đầu Tổ chức Y tế thế giới Tedros Adhanom Ghebreyesus bày tỏ lo ngại về một số biện pháp mà các quốc gia đưa ra nhằm ngăn chặn biến thể mới Omicron.|thế giới|nguoilambao.vn|09:57 - 01/12/2021
Nhật Bản ghi nhận trường hợp đầu tiên nhiễm biến thể Omicron|https://nguoilambao.vn/nhat-ban-ghi-nhan-truong-hop-dau-tien-nhiem-bien-the-omicron-n53038.html|https://nguoilambao.vn/images/news/2021/11/30/small/nhat-ban-ghi-nhan-truong-hop-dau-tien-nhiem-bien-the-omicron-1638260743.jpeg|Nhật Bản ghi nhận trường hợp đầu tiên nhiễm biến thể Omicron, là một nhà ngoại giao từ châu Phi tới Nhật Bản ngày 28/11.|thế giới|nguoilambao.vn|15:18 - 30/11/2021
Australia ban hành luật mới ngăn chặn nội dung phỉ báng trực tuyến|https://nguoilambao.vn/australia-ban-hanh-luat-moi-ngan-chan-noi-dung-phi-bang-truc-tuyen-n53026.html|https://nguoilambao.vn/images/news/2021/11/29/small/australia-ban-hanh-luat-moi-ngan-chan-noi-dung-phi-bang-truc-tuyen-1638175386.jpg|Theo các quy định mới sẽ được ban hành tại Australia trong tuần tới, các nền tảng mạng xã hội sẽ buộc phải tiết lộ danh tính của những cá nhân đăng nội dung phỉ báng...|thế giới|nguoilambao.vn|15:35 - 29/11/2021
Người nhập cảnh vào Anh sẽ phải thực hiện xét nghiệm PCR|https://nguoilambao.vn/nguoi-nhap-canh-vao-anh-se-phai-thuc-hien-xet-nghiem-pcr-n53015.html|https://nguoilambao.vn/images/news/2021/11/29/small/nguoi-nhap-canh-vao-anh-se-phai-thuc-hien-xet-nghiem-pcr-1638147973.jpg|Ngày 28/11, Bộ trưởng Y tế Anh Sajid Javid cho biết quy định đeo khẩu trang tại các cửa hàng và trên các phương tiện giao thông công cộng sẽ được áp dụng trở lại tại...|thế giới|nguoilambao.vn|07:57 - 29/11/2021
Ủy ban châu Âu đề xuất thời hạn hiệu lực đối với chứng nhận tiêm chủng|https://nguoilambao.vn/uy-ban-chau-au-de-xuat-thoi-han-hieu-luc-doi-voi-chung-nhan-tiem-chung-n52984.html|https://nguoilambao.vn/images/news/2021/11/26/small/uy-ban-chau-au-de-xuat-thoi-han-hieu-luc-doi-voi-chung-nhan-tiem-chung-1637911997.jpg|Ngày 25/11, Ủy ban châu Âu đã đưa ra đề xuất chứng nhận tiêm vaccine ngừa COVID-19 có hiệu lực trong vòng 9 tháng sau mũi tiêm thứ 2.|thế giới|nguoilambao.vn|14:16 - 26/11/2021
"WHO họp khẩn để đánh giá, bàn cách đối phó với biến thể mới ""siêu đột biến"""|https://nguoilambao.vn/who-hop-khan-de-danh-gia-ban-cach-doi-pho-voi-bien-the-moi-quot-sieu-dot-bienquot-n52979.html|https://nguoilambao.vn/images/news/2021/11/26/small/who-hop-khan-de-danh-gia-ban-cach-doi-pho-voi-bien-the-moi-quot-sieu-dot-bienquot-1637897450.jpg|Biến thể SARS-CoV-2 mới được phát hiện với rất nhiều đột biến đã khiến Tổ chức Y tế Thế giới (WHO) quyết định triệu tập phiên họp khẩn cấp để đánh giá tình hình và thảo...|thế giới|nguoilambao.vn|10:26 - 26/11/2021
Nga dự kiến xuất khẩu vaccine ngừa COVID-19 dạng xịt mũi|https://nguoilambao.vn/nga-du-kien-xuat-khau-vaccine-ngua-covid-19-dang-xit-mui-n52951.html|https://nguoilambao.vn/images/news/2021/11/25/small/nga-du-kien-xuat-khau-vaccine-ngua-covid-19-dang-xit-mui-1637801759.jpg|Ngày 24/11, Nga đã thông báo những tiến bộ trong việc bào chế vaccine ngừa COVID-19, trong đó có vaccine Sputnik phiên bản dành cho trẻ em và dạng xịt mũi mà Tổng thống...|thế giới|nguoilambao.vn|07:51 - 25/11/2021
Pháp thắt chặt điều kiện đi lại với những du khách chưa tiêm chủng|https://nguoilambao.vn/phap-that-chat-dieu-kien-di-lai-voi-nhung-du-khach-chua-tiem-chung-n52824.html|https://nguoilambao.vn/images/news/2021/11/17/small/phap-that-chat-dieu-kien-di-lai-voi-nhung-du-khach-chua-tiem-chung-1637133302.jpg|Quy định thắt chặt điều kiện đi lại với những du khách chưa tiêm chủng được đưa ra nhằn hạn chế sự bùng phát của dịch COVID-19 khi Pháp đang phải đối mặt với nguy cơ làn...|thế giới|nguoilambao.vn|13:45 - 17/11/2021
Italy tuyên bố kiểm soát được tình hình dịch bệnh COVID-19|https://nguoilambao.vn/italy-tuyen-bo-kiem-soat-duoc-tinh-hinh-dich-benh-covid-19-n52777.html|https://nguoilambao.vn/images/news/2021/11/16/small/italy-tuyen-bo-kiem-soat-duoc-tinh-hinh-dich-benh-covid-19-1637024027.jpg|Ngày 15/11, Thứ trưởng Bộ Y tế Italy Andrea Costa tuyên bố tình hình dịch COVID-19 ở nước này đang được kiểm soát, giữa lúc có tin tức rằng chính phủ có thể áp đặt các...|thế giới|nguoilambao.vn|07:50 - 16/11/2021
Cuba khẳng định bắt đầu kiểm soát được tình hình dịch bệnh|https://nguoilambao.vn/cuba-khang-dinh-bat-dau-kiem-soat-duoc-tinh-hinh-dich-benh-n52770.html|https://nguoilambao.vn/images/news/2021/11/15/small/cuba-khang-dinh-bat-dau-kiem-soat-duoc-tinh-hinh-dich-benh-1636964485.jpg|Ngày 14/11, Chính phủ Cuba khẳng định đảo quốc Caribe này đã bắt đầu kiểm soát được tình hình đại dịch COVID-19 sau khi trải qua ngày đầu tiên không ghi nhận ca tử vong...|thế giới|nguoilambao.vn|15:09 - 15/11/2021
Áo áp đặt phong tỏa đối với người chưa tiêm vaccine phòng COVID-19|https://nguoilambao.vn/ao-ap-dat-phong-toa-doi-voi-nguoi-chua-tiem-vaccine-phong-covid-19-n52762.html|https://nguoilambao.vn/images/news/2021/11/15/small/ao-ap-dat-phong-toa-doi-voi-nguoi-chua-tiem-vaccine-phong-covid-19-1636933036.jpg|Ngày 14/11, Thủ tướng Áo Alexander Schallenberg thông báo từ ngày 15/11 nước này bắt đầu áp dụng phong tỏa trên toàn quốc đối với những người chưa tiêm vaccine ngừa...|thế giới|nguoilambao.vn|06:29 - 15/11/2021
Bộ trưởng Y tế Đức cảnh báo diễn biến nghiêm trọng của dịch COVID-19|https://nguoilambao.vn/bo-truong-y-te-duc-canh-bao-dien-bien-nghiem-trong-cua-dich-covid-19-n52747.html|https://nguoilambao.vn/images/news/2021/11/13/small/bo-truong-y-te-duc-canh-bao-dien-bien-nghiem-trong-cua-dich-covid-19-1636791440.jpg|Ngày 12/11, Bộ trưởng Y tế Đức Jens Spahn cảnh báo tình hình dịch bệnh tại nước này hiện đang nghiêm trọng và khuyến cáo người dân không nên chủ quan.|thế giới|nguoilambao.vn|09:21 - 13/11/2021
Nhật Bản thông qua kế hoạch tổng thể mới phòng chống dịch COVID-19|https://nguoilambao.vn/nhat-ban-thong-qua-ke-hoach-tong-the-moi-phong-chong-dich-covid-19-n52734.html|https://nguoilambao.vn/images/news/2021/11/12/small/nhat-ban-thong-qua-ke-hoach-tong-the-moi-phong-chong-dich-covid-19-1636701300.jpg|Ngày 12/11, Chính phủ Nhật Bản đã thông qua bản kế hoạch tổng thể về phòng chống COVID-19, với các biện pháp chủ động trong trường hợp làn sóng dịch bệnh lần thứ 6 tại...|thế giới|nguoilambao.vn|14:03 - 12/11/2021
